Day,Date,Max Temperature AM,Max Temperature PM,Max Temperature Night,Min Temperature AM,Min Temperature PM,Min Temperature Night,Humidity AM,Humidity PM,Humidity Night
Thursday,08,29,30,29,28,29,28,73,70,73
Friday,09,28,29,28,28,29,27,70,68,72
Saturday,10,28,28,28,28,28,27,75,76,79
Sunday,11,27,27,27,27,26,26,87,85,89
Monday,12,27,28,28,26,27,28,86,76,76
Tuesday,13,28,27,27,28,27,26,80,85,86
Wednesday,14,28,28,28,27,28,27,79,80,86
Thursday,15,27,28,27,27,27,27,86,84,90
Friday,16,28,28,28,27,28,27,85,82,82
Saturday,17,29,29,28,28,28,27,79,81,81
Sunday,18,27,26,26,27,26,26,88,93,92
Monday,19,26,27,27,26,26,26,87,81,90
